Unnamed: 0	Skupina: RIT 2 UN Erasmus., RIT 2 UN - UP2, RIT 2 UN - UP2 RV 1, RIT 	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Zadnja sprememba: 05.03.2024 13:48	Unnamed: 9
	Petek	29.03.2024	11:00-14:00	(RU) E-110	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 1		ALJAŽ JEROMEL
	Petek	29.03.2024	14:00-17:00	G3-amfiteater Gauss, klet	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 2		MLADEN BOROVIČ
	Torek	02.04.2024	07:00-10:00	G2-P06, pritličje	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 3		ALJAŽ JEROMEL
	Torek	02.04.2024	11:00-13:00	G2-P2 BETA, pritličje	PR UMETNA INTELIGENCA		RIT 2 UN - UP2, RIT 3 UN		DAMJAN STRNAD
	Torek	02.04.2024	13:00-15:00	G2-P02, pritličje	PR SIGNALI IN SLIKE		RIT 2 UN - UP2		ALEŠ HOLOBAR
	Torek	02.04.2024	15:00-18:00	G2-seminarska soba, 2. nad.	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 2		MATEJ KRAMBERGER
	Torek	02.04.2024	18:00-21:00	G2-seminarska soba, 2. nad.	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 3		MATEJ KRAMBERGER
	Sreda	03.04.2024	10:00-12:00	G2-P2 BETA, pritličje	PR SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2		ALEŠ HOLOBAR
	Sreda	03.04.2024	12:00-15:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 1		MATJAŽ DIVJAK
	Sreda	03.04.2024	12:00-15:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 2		LEON KUTOŠ
	Sreda	03.04.2024	15:00-18:00	(RU) F-103/a	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 1		MLADEN BOROVIČ
	Sreda	03.04.2024	15:00-18:00	(RU) F-103/b	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 3, RIT 3 UN RV 1		. DEMONSTRATOR
	Petek	05.04.2024	09:00-11:00	G2-P2 BETA, pritličje	PR UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2		BORUT ŽALIK
	Petek	05.04.2024	14:00-17:00	G3-amfiteater Gauss, klet	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 2		MLADEN BOROVIČ
	Petek	05.04.2024	17:00-20:00	(RU) F-102	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 2		ALJAŽ JEROMEL
	Ponedeljek	08.04.2024	09:00-12:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 1		MATJAŽ DIVJAK
	Ponedeljek	08.04.2024	12:00-15:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 3		MATJAŽ DIVJAK, LEON KUTOŠ
	Ponedeljek	08.04.2024	17:00-20:00	(RU) E-110	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 3		ALJAŽ JEROMEL
	Torek	09.04.2024	11:00-13:00	G2-P2 BETA, pritličje	PR UMETNA INTELIGENCA		RIT 2 UN - UP2, RIT 3 UN		DAMJAN STRNAD
	Torek	09.04.2024	13:00-16:00	G2-P02, pritličje	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 3		ALJAŽ JEROMEL
	Sreda	10.04.2024	10:00-12:00	G2-P2 BETA, pritličje	PR SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2		ALEŠ HOLOBAR
	Sreda	10.04.2024	12:00-15:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 1		MATJAŽ DIVJAK
	Sreda	10.04.2024	12:00-15:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 2		LEON KUTOŠ
	Sreda	10.04.2024	15:00-18:00	(RU) F-103/a	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 1		MLADEN BOROVIČ
	Sreda	10.04.2024	15:00-18:00	(RU) F-103/b	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 3, RIT 3 UN RV 1		. DEMONSTRATOR
	Četrtek	11.04.2024	07:00-10:00	(RU) F-104	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 1		ALJAŽ JEROMEL
	Četrtek	11.04.2024	10:00-13:00	(RU) F-104	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 2		ALJAŽ JEROMEL
	Četrtek	11.04.2024	13:00-15:00	G2-P01, pritličje	PR SIGNALI IN SLIKE		RIT 2 UN - UP2		ALEŠ HOLOBAR
	Četrtek	11.04.2024	15:00-18:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 3		MATEJ KRAMBERGER
	Četrtek	11.04.2024	18:00-21:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 2		MATEJ KRAMBERGER
	Petek	12.04.2024	09:00-11:00	G2-P2 BETA, pritličje	PR UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2		BORUT ŽALIK
	Petek	12.04.2024	11:00-14:00	G3-laboratorij Turing, pritličje	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 1		ALJAŽ JEROMEL
	Petek	12.04.2024	14:00-17:00	G3-amfiteater Gauss, klet	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 2		MLADEN BOROVIČ
	Petek	12.04.2024	17:00-20:00	(RU) F-102	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 2		ALJAŽ JEROMEL
	Ponedeljek	15.04.2024	09:00-12:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 1		MATJAŽ DIVJAK
	Ponedeljek	15.04.2024	12:00-15:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 3		MATJAŽ DIVJAK, LEON KUTOŠ
	Ponedeljek	15.04.2024	17:00-20:00	(RU) E-110	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 3		ALJAŽ JEROMEL
	Torek	16.04.2024	11:00-13:00	G2-P2 BETA, pritličje	PR UMETNA INTELIGENCA		RIT 2 UN - UP2, RIT 3 UN		DAMJAN STRNAD
	Torek	16.04.2024	14:00-17:00	(RU) C-202	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 1		ALJAŽ JEROMEL
	Sreda	17.04.2024	10:00-12:00	G2-P2 BETA, pritličje	PR SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2		ALEŠ HOLOBAR
	Sreda	17.04.2024	12:00-15:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 1		MATJAŽ DIVJAK
	Sreda	17.04.2024	12:00-15:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 2		LEON KUTOŠ
	Sreda	17.04.2024	15:00-18:00	(RU) F-103/a	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 1		MLADEN BOROVIČ
	Sreda	17.04.2024	15:00-18:00	(RU) F-103/b	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 3, RIT 3 UN RV 1		. DEMONSTRATOR
	Četrtek	18.04.2024	07:00-10:00	(RU) F-104	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 1		ALJAŽ JEROMEL
	Četrtek	18.04.2024	10:00-13:00	(RU) F-104	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 2		ALJAŽ JEROMEL
	Četrtek	18.04.2024	13:00-15:00	G2-P01, pritličje	PR SIGNALI IN SLIKE		RIT 2 UN - UP2		ALEŠ HOLOBAR
	Četrtek	18.04.2024	15:00-18:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 3		MATEJ KRAMBERGER
	Četrtek	18.04.2024	18:00-21:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 2		MATEJ KRAMBERGER
	Petek	19.04.2024	09:00-11:00	G2-P2 BETA, pritličje	PR UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2		BORUT ŽALIK
	Petek	19.04.2024	11:00-14:00	(RU) E-110	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 3		ALJAŽ JEROMEL
	Petek	19.04.2024	14:00-17:00	G3-amfiteater Gauss, klet	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 2		MLADEN BOROVIČ
	Petek	19.04.2024	17:00-20:00	(RU) F-102	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 2		ALJAŽ JEROMEL
	Ponedeljek	22.04.2024	09:00-12:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 1		MATJAŽ DIVJAK
	Ponedeljek	22.04.2024	12:00-15:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 3		MATJAŽ DIVJAK, LEON KUTOŠ
	Ponedeljek	22.04.2024	17:00-20:00	(RU) E-110	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 3		ALJAŽ JEROMEL
	Torek	23.04.2024	11:00-13:00	G2-P2 BETA, pritličje	PR UMETNA INTELIGENCA		RIT 2 UN - UP2, RIT 3 UN		DAMJAN STRNAD
	Sreda	24.04.2024	10:00-12:00	G2-P2 BETA, pritličje	PR SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2		ALEŠ HOLOBAR
	Sreda	24.04.2024	12:00-15:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 1		MATJAŽ DIVJAK
	Sreda	24.04.2024	12:00-15:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 2		LEON KUTOŠ
	Sreda	24.04.2024	15:00-18:00	(RU) F-103/a	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 1		MLADEN BOROVIČ
	Sreda	24.04.2024	15:00-18:00	(RU) F-103/b	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 3, RIT 3 UN RV 1		. DEMONSTRATOR
	Četrtek	25.04.2024	07:00-10:00	(RU) F-104	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 1		ALJAŽ JEROMEL
	Četrtek	25.04.2024	10:00-13:00	(RU) F-104	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 2		ALJAŽ JEROMEL
	Četrtek	25.04.2024	13:00-15:00	G2-P01, pritličje	PR SIGNALI IN SLIKE		RIT 2 UN - UP2		ALEŠ HOLOBAR
	Četrtek	25.04.2024	15:00-18:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 3		MATEJ KRAMBERGER
	Četrtek	25.04.2024	18:00-21:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 2		MATEJ KRAMBERGER
	Petek	26.04.2024	09:00-11:00	G2-P2 BETA, pritličje	PR UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2		BORUT ŽALIK
	Petek	26.04.2024	14:00-17:00	G3-amfiteater Gauss, klet	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 2		MLADEN BOROVIČ
	Ponedeljek	06.05.2024	09:00-12:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 1		MATJAŽ DIVJAK
	Ponedeljek	06.05.2024	12:00-15:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 3		MATJAŽ DIVJAK, LEON KUTOŠ
	Ponedeljek	06.05.2024	17:00-20:00	(RU) E-110	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 3		ALJAŽ JEROMEL
	Torek	07.05.2024	09:00-11:00	G3-amfiteater Gauss, klet	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 1		MLADEN BOROVIČ
	Torek	07.05.2024	09:00-11:00	G3-amfiteater Gauss, klet	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 3, RIT 3 UN RV 1		. DEMONSTRATOR
	Torek	07.05.2024	11:00-13:00	G2-P2 BETA, pritličje	PR UMETNA INTELIGENCA		RIT 2 UN - UP2, RIT 3 UN		DAMJAN STRNAD
	Sreda	08.05.2024	10:00-12:00	G2-P2 BETA, pritličje	PR SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2		ALEŠ HOLOBAR
	Sreda	08.05.2024	12:00-15:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 1		MATJAŽ DIVJAK
	Sreda	08.05.2024	12:00-15:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 2		LEON KUTOŠ
	Sreda	08.05.2024	15:00-16:00	(RU) F-103/a	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 1		MLADEN BOROVIČ
	Sreda	08.05.2024	15:00-16:00	(RU) F-103/b	RV UMETNA INTELIGENCA		RIT 2 UN - UP2 RV 3, RIT 3 UN RV 1		. DEMONSTRATOR
	Četrtek	09.05.2024	07:00-10:00	(RU) F-104	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 1		ALJAŽ JEROMEL
